"","Gene","Annotation","amox_clauv_acid","ampicillin","cefalexin","cefazolin","cefovecin","cefpodoxime","ceftazidime","chloramphenicol","doxycycline","enrofloxacin","gentamicin","marbofloxacin","orbifloxacin","prado","tetracycline","trimeth_sulfameth"
"group_4494","group_4494","type II toxin-antitoxin system VapC family toxin;PIN domain-containing protein",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"group_4537","group_4537","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"group_4543","group_4543","DNA repair protein RadC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_4570","group_4570","S-methyl-5-thioribose kinase",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,5,5
"group_4594","group_4594","RusA family crossover junction endodeoxyribonuclease;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_4605","group_4605","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4617","group_4617","AbrB/MazE/SpoVT family DNA-binding domain-containing protein",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"group_4618","group_4618","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_4619","group_4619","DNA helicase UvrD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_4628","group_4628","relaxosome protein TraM",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA
"group_4637","group_4637","site-specific integrase;tyrosine-type recombinase/integrase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_4642","group_4642","DUF977 family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA
"group_4675","group_4675","AAA family ATPase;ATP-dependent endonuclease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_4709","group_4709","mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_4710","group_4710","ABC transporter permease;O99 family O-antigen ABC transporter permease subunit Wzm;O9 family O-antigen ABC transporter permease subunit Wzm",NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"group_4711","group_4711","ABC transporter ATP-binding protein;O9 family O-antigen ABC transporter ATP-binding protein Wzt",NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"group_4742","group_4742","DNA repair protein;hypothetical protein;DUF4113 domain-containing protein;translesion error-prone DNA polymerase V subunit UmuC;Y-family DNA polymerase",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4745","group_4745","GGDEF domain-containing protein;diguanylate cyclase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_4784","group_4784","relaxase NikB;relaxase/mobilization nuclease domain-containing protein;IncI1-type relaxase NikB",NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4794","group_4794","IS110 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA
"group_4805","group_4805","IS3 family transposase;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA
"group_4826","group_4826","conjugal transfer protein TrbA;IncI1-type conjugal transfer protein TrbA;hypothetical protein",NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4831","group_4831","conjugal transfer protein TrbC;TraM recognition domain-containing protein",NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4838","group_4838","DUF262 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_4847","group_4847","IS66 family insertion sequence element accessory protein TnpB;IS66 family insertion sequence hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4863","group_4863","Rpn family recombination-promoting nuclease/putative transposase",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4866","group_4866","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"group_4880","group_4880","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"group_4889","group_4889","ethanolamine utilization protein EutE;exclusion-determining protein;ethanolamine utilization protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4892","group_4892","plasmid-partitioning protein;ParB/RepB/Spo0J family plasmid partition protein",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"group_4893","group_4893","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_4896","group_4896","Tn3 family transposase;transposase;Tn3-like element TnAs3 family transposase",NA,11,NA,11,NA,11,11,11,11,11,NA,11,11,NA,11,11
"group_4909","group_4909","conjugative transfer relaxase/helicase TraI;hypothetical protein;DNA helicase;traI domain protein;AAA family ATPase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_4913","group_4913","IS5-like element ISKpn26 family transposase;IS5-like element IS5 family transposase;IS5/IS1182 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_4933","group_4933","IS4-like element IS4 family transposase;IS4 family transposase;transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"group_4954","group_4954","IS21 family transposase;transposase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_497","group_497","GNAT family N-acetyltransferase;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5
"group_4989","group_4989","DNA cytosine methyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_499","group_499","glutathione S-transferase;type VII secretion-associated protein",NA,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,7,7
"group_5037","group_5037","arginine deiminase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_504","group_504","conjugal transfer protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_505","group_505","lipopolysaccharide core heptose(II)-phosphate phosphatase;histidine phosphatase family protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5067","group_5067","phage major capsid protein",NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,5,5,NA,NA,NA
"group_5070","group_5070","transposase;IS66 family insertion sequence hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_5078","group_5078","PilI type IV pilus biogenesis protein;pilus assembly protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_508","group_508","LysR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_5080","group_5080","DUF2254 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"group_5125","group_5125","ISL3-like element ISKox3 family transposase;ISL3 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA
"group_5141","group_5141","IS5/IS1182 family transposase;IS5 family transposase;IS5-like element IS903 family transposase;transposase;IS5-like element IS903B family transposase",NA,NA,NA,6,NA,6,NA,NA,NA,6,NA,6,6,NA,6,NA
"group_5158","group_5158","single-stranded DNA-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_5175","group_5175","protease;omptin family outer membrane protease",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_5189","group_5189","antimicrobial resistance protein Mig-14",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_5190","group_5190","NAD-dependent epimerase/dehydratase family protein",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_5211","group_5211","Hok/Gef family protein",NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5291","group_5291","DUF1391 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"group_5303","group_5303","hypothetical protein;GTPase",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5344","group_5344","conjugal transfer protein TraF",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5365","group_5365","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"group_5373","group_5373","hypothetical protein",NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5374","group_5374","type IV conjugative transfer system protein TraV;type IV conjugative transfer system lipoprotein TraV",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5392","group_5392","IS3 family transposase;transposase;IS3-like element IS600 family transposase",NA,NA,NA,9,NA,NA,NA,NA,9,9,9,9,9,9,9,9
"group_54","group_54","transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_5419","group_5419","LuxR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA
"group_5424","group_5424","MFS transporter",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_5435","group_5435","MFS transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3
"group_5517","group_5517","putative C-S lyase",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5548","group_5548","3-(3-hydroxy-phenyl)propionate transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"group_5551","group_5551","acetaldehyde dehydrogenase (acetylating)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"group_5667","group_5667","type I toxin-antitoxin system Hok family toxin",NA,6,NA,NA,NA,NA,NA,NA,6,6,NA,6,6,NA,6,NA
"group_5678","group_5678","antitoxin PemI",NA,12,12,12,12,12,NA,NA,12,12,12,12,12,12,12,NA
"group_5680","group_5680","cysteine hydrolase",NA,NA,NA,NA,7,7,NA,NA,7,7,NA,7,7,NA,7,NA
"group_5683","group_5683","cupin fold metalloprotein WbuC family",NA,11,11,11,11,11,NA,NA,11,11,NA,11,11,11,11,NA
"group_5686","group_5686","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5",NA,10,NA,NA,NA,10,NA,10,10,10,10,10,10,NA,10,10
"group_5687","group_5687","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5",NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,6,6,NA,6,6
"group_5688","group_5688","quaternary ammonium compound efflux SMR transporter QacE delta 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5
"group_5689","group_5689","quaternary ammonium compound efflux SMR transporter QacE delta 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,3
"group_5690","group_5690","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA
"group_5691","group_5691","trimethoprim-resistant dihydrofolate reductase DfrA12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_5692","group_5692","DUF1010 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_5693","group_5693","DUF1010 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_5695","group_5695","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5
"group_5696","group_5696","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5
"group_57","group_57","fimbrial biogenesis outer membrane usher protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_570","group_570","PdcA protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_5700","group_5700","IS6-like element IS6100 family transposase",NA,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,7,7
"group_5701","group_5701","type VII secretion-associated protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,NA,6,6
"group_5702","group_5702","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,NA,6,6
"group_5703","group_5703","TetR/AcrR family transcriptional regulator",NA,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,7,7
"group_5706","group_5706","TetR/AcrR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,NA,6,6
"group_5707","group_5707","MFS transporter",NA,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,7,7
"group_5708","group_5708","Mph(A) family macrolide 2'-phosphotransferase",NA,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,7,7
"group_5709","group_5709","hypothetical protein",NA,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,7,7
"group_5710","group_5710","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_5713","group_5713","ABC transporter ATP-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_5714","group_5714","ABC transporter permease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_5716","group_5716","DUF2318 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_572","group_572","toxin ArtA;protein ArtA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_5720","group_5720","protein disulfide oxidoreductase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_5723","group_5723","conjugal transfer protein TrbA",NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5724","group_5724","DsbC family protein",NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5725","group_5725","conjugal transfer protein TrbC",NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5735","group_5735","conjugal transfer protein TraV",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5736","group_5736","ATP-binding protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5737","group_5737","TraS protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5738","group_5738","conjugal transfer protein TraP",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5740","group_5740","conjugal transfer protein TraN",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5741","group_5741","conjugal transfer protein TraM",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5742","group_5742","conjugal transfer protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5743","group_5743","plasmid transfer ATPase TraJ",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5744","group_5744","conjugal transfer protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5745","group_5745","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5746","group_5746","conjugal transfer protein TraF",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5747","group_5747","shufflon protein C'",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5748","group_5748","prepilin peptidase",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5749","group_5749","lytic transglycosylase domain-containing protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_575","group_575","phage integrase family protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5751","group_5751","pilus assembly protein PilR",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5752","group_5752","ATP-binding protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5753","group_5753","pilus assembly protein PilP",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5754","group_5754","pili assembly chaperone",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5755","group_5755","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5759","group_5759","class A broad-spectrum beta-lactamase TEM-1",10,10,NA,10,NA,NA,NA,10,10,10,10,10,NA,NA,10,10
"group_5760","group_5760","class A broad-spectrum beta-lactamase TEM-1",9,9,NA,9,NA,NA,NA,9,9,9,9,NA,NA,NA,9,9
"group_5762","group_5762","korC",NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,4,4,NA,NA,NA
"group_5766","group_5766","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_579","group_579","hypothetical protein;IS1380 family transposase;IS1380-like element ISEc9 family transposase",11,11,11,11,11,11,11,NA,11,11,NA,11,NA,NA,11,NA
"group_5833","group_5833","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_5914","group_5914","type II toxin-antitoxin system death-on-curing family toxin",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_5915","group_5915","type II toxin-antitoxin system Phd/YefM family antitoxin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA
"group_5925","group_5925","recombinase",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5930","group_5930","LuxR family transcriptional regulator",6,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA
"group_5931","group_5931","lipocalin family protein",7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5932","group_5932","lipocalin family protein",7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_5933","group_5933","beta-lactamase",7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6053","group_6053","hypothetical protein",NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"group_6151","group_6151","IS256 family transposase",NA,NA,NA,7,NA,7,7,7,7,NA,NA,NA,7,NA,7,NA
"group_6152","group_6152","IS256 family transposase",NA,NA,NA,6,NA,6,6,6,6,NA,NA,NA,NA,NA,6,NA
"group_6156","group_6156","hypothetical protein",NA,NA,NA,5,NA,NA,5,5,5,NA,NA,NA,NA,NA,5,NA
"group_6159","group_6159","chloramphenicol efflux MFS transporter CmlA1",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_617","group_617","hypothetical protein",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6177","group_6177","broad-spectrum mercury transporter MerE",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3
"group_6178","group_6178","mercury resistance co-regulator MerD",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3
"group_6180","group_6180","organomercurial transporter MerC",NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,5
"group_619","group_619","transposase;DUF3330 domain-containing protein;hypothetical protein",NA,10,NA,10,NA,10,NA,10,10,10,NA,10,10,NA,10,10
"group_620","group_620","transposase;DUF3330 domain-containing protein;EAL domain-containing protein;hypothetical protein",NA,9,NA,NA,NA,9,NA,9,9,9,NA,9,9,NA,9,9
"group_6201","group_6201","SDR family oxidoreductase",NA,NA,NA,6,NA,6,6,6,6,NA,NA,NA,NA,NA,6,NA
"group_6202","group_6202","SDR family oxidoreductase",NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA
"group_6203","group_6203","hypothetical protein",NA,NA,NA,6,NA,6,6,6,6,NA,NA,NA,NA,NA,6,NA
"group_6204","group_6204","hypothetical protein",NA,NA,NA,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,4,NA
"group_6205","group_6205","sulfonamide-resistant dihydropteroate synthase Sul3",NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA
"group_6241","group_6241","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_6298","group_6298","type I deoxyribonuclease HsdR",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_6331","group_6331","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
"group_6334","group_6334","DUF927 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"group_6390","group_6390","lipopolysaccharide core heptose(II)-phosphate phosphatase",4,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6391","group_6391","lipopolysaccharide core heptose(II)-phosphate phosphatase",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6435","group_6435","MFS transporter",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_6438","group_6438","toxin-antitoxin system antitoxin component AbrB family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_6472","group_6472","ornithine carbamoyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_6498","group_6498","antirestriction protein",NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6538","group_6538","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_6547","group_6547","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
"group_6660","group_6660","helix-turn-helix domain-containing protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6674","group_6674","anti-adapter protein IraM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA
"group_6691","group_6691","N-acetyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
"group_6717","group_6717","type I toxin-antitoxin system Ibs family toxin",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,4,NA,NA
"group_6729","group_6729","DNA cytosine methyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_6740","group_6740","aldolase",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6752","group_6752","amidohydrolase;p-aminobenzoyl-glutamate hydrolase subunit B",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6764","group_6764","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_6765","group_6765","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_6787","group_6787","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_6822","group_6822","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,NA,4
"group_6824","group_6824","homocysteine S-methyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_6905","group_6905","SpnT protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_6922","group_6922","N-acetylneuraminate lyase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_6949","group_6949","helix-turn-helix transcriptional regulator;hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_6987","group_6987","IS3 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_6990","group_6990","carbamate kinase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_7002","group_7002","sce7725 family protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"group_7031","group_7031","type II toxin-antitoxin system HigB family toxin;mRNA interferase HigB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_7054","group_7054","N-acetylneuraminic acid channel protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_7059","group_7059","glycosyltransferase family 2 protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_7158","group_7158","4-hydroxyphenylacetate catabolism regulatory protein HpaA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_7225","group_7225","IS200/IS605 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_7256","group_7256","fimbrial family protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_7262","group_7262","DNA methylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,5,5
"group_7282","group_7282","N-acetylmannosamine kinase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_7294","group_7294","MFS transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_732","group_732","4-hydroxyphenylacetate 3-monooxygenase reductase subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_7373","group_7373","DUF977 family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
